ligand	receptor	target	source_reference	decision	missing	model_input
Adm	Ramp2	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/ADM-RAMP2.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Apln	Aplnr	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/APLN-APLNR.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Cxcl12	Ackr3	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/CXCL12-ACKR3.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Edn1	Ednrb	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/EDN1-EDNRB.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Efna5	Epha4	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/EFNA5-EPHA4.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Nlgn1	Nrxn3	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/NLGN1-NRXN3.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Nodal	Acvr1c	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/NODAL-ACVR1C.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Nppa	Npr3	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/NPPA-NPR3.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Nppb	Npr3	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/NPPB-NPR3.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Nrg1	Erbb4	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/NRG1-ERBB4.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Ntf5	Ngfr	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/NTF4-NGFR.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Pdgfb	Pdgfrb	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/PDGFB-PDGFRB.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Ptn	Ptprz1	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/PTN-PTPRZ1.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Rspo1	Lgr6	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/RSPO1-LGR6.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Rspo3	Lgr6	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/RSPO3-LGR6.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Sema3a	Nrp2	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/SEMA3A-NRP2.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Slit2	Robo2	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/SLIT2-ROBO2.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Slit3	Robo2	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/SLIT3-ROBO2.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Tnc	Itga8	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/TNC-ITGA8.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Tnc	Ptprz1	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/TNC-PTPRZ1.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Vegfc	Nrp2	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/VEGFC-NRP2.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Cadm1	Cadm1	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/CADM1-CADM1.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Cxcl12	Itga4	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/CXCL12-ITGA4.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Mmrn2	Cd93	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/MMRN2-CD93.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Mmrn2	Clec14a	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/MMRN2-CLEC14A.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Robo2	Robo2	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/ROBO2-ROBO2.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Cdh4	Cdh4	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/CDH4-CDH4.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Epha4	Efna5	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/EPHA4-EFNA5.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Esam	Esam	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/ESAM-ESAM.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Fgb	Cdh5	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/FGB-CDH5.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Lama2	Adgrg6	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/LAMA2-ADGRG6.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Mpz	Mpz	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/MPZ-MPZ.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Negr1	Negr1	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/NEGR1-NEGR1.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Ntm	Ntm	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/NTM-NTM.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Pecam1	Pecam1	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/PECAM1-PECAM1.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
Svep1	Itga4	NOT_PROVIDED_BY_LR_DATABASE	https://connectomedb.org/cards/human/SVEP1-ITGA4.html	HOLD	target chain; experimental-context review; database license resolution; task clearance	false
