source_id	source_name	kind	accession_or_version	allowed_tasks	status	license	primary_url	required_filters	forbidden_content	allowed_role	risk_note
OFFICIAL_T1_E775	Challenge released unused E7.75 scRNA	official_data	challenge release	T1	ALLOW	challenge terms	https://virtualembryo.ai/challenge/data	none beyond official contract	none	background state dictionary and source-only checks	not external; keep separated from split inputs
EMTAB6967	Pijuan-Sala mouse gastrulation atlas	scRNA	E-MTAB-6967	T1;T3	ALLOW_FILTERED	EBI Terms if no record-specific license	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6967	WT atlas only; stages E6.5-E8.5; retain exact stage/sample metadata	Tal1-/- chimeras; injected ESC/chimeric components; unclear genotype	early state vocabulary; 6-hour developmental transitions; WT lineage context	whole-embryo domain differs from challenge heart-centred dissection
EMTAB11763	Extended Mouse Atlas	scRNA	E-MTAB-11763	T1;T3	ALLOW_FILTERED	EBI Terms if no record-specific license	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11763	explicit WT only; stages E8.5-E9.5; retain embryo proper/yolk-sac label	mutant or unclear genotype	E9.5 domain bridge; dense E8.5-E9.5 transitions; WT lineage context	external absolute proportions cannot replace challenge composition
GSE193346	Developing mouse heart single-cell atlas	scRNA	GSE193346	T1	ALLOW_FILTERED	GEO public data; check submitter IP notice	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193346	WT CD1/C57BL6 only; keep E9.5 and E14.5+; record strain/chamber/stage	all E10.5-E13.5; all Wt1/Tbx18 mutants; unclear genotype	late-state/program anchors and E9.5 domain bridge	large Seurat objects contain forbidden stages; sanitize before any training/embedding
GSE52123	WT GATA4 occupancy in mouse heart	ChIP-seq	GSE52123	T3	ALLOW_FILTERED	GEO public data; check submitter IP notice	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52123	E12.5 WT heart GATA4 ChIP replicates and matched input only	adult/stress samples; any perturbational expression; reuse in T1/T2	directness/confidence of GATA4 target candidates; never sign alone	task-scoped T3 only because E12.5 is protected in T1/T2
COLLECTRI	CollecTRI signed TF-target regulons	knowledge_graph	snapshot pinned at run	T3	ALLOW_FILTERED	query with academic license; record upstream resources	https://github.com/saezlab/CollecTRI	mouse mapping; edge-level source/resource recorded; strict lane excludes unresolved target-perturbation provenance	edges sourced from comparable-stage GATA4/GATA6/CTNNB1 perturbation or phenocopy	secondary signed vote; cannot be sole decisive evidence	aggregated provenance may be incomplete; broader use needs organizer clearance
OMNIPATH	OmniPath signaling network	knowledge_graph	snapshot pinned at run	T3	ALLOW_FILTERED	inherits source licenses; academic filter	https://omnipathdb.org/	academic license filter; record source resources; use topology/path sign only when provenance passes	target/phenocopy perturbation evidence at comparable stage	signaling propagation constraints, especially future beta-catenin route	not a condition-specific truth source
REACTOME	Reactome pathway data	ontology_pathway	release pinned at run	T1;T3	ALLOW	CC0 for data	https://reactome.org/download-data	record release and downloaded files	none beyond task-specific usage	pathway membership, module boundaries, blacklist support	curated pathway membership does not establish context-specific effect sign
GO	Gene Ontology	ontology	release pinned at run	T1;T3	ALLOW	CC BY 4.0	https://geneontology.org/docs/downloads/	record release and attribution	none beyond task-specific usage	lineage/state/function modules	does not provide causal sign
CELLORACLE	CellOracle	software	pinned git commit/package version	T3	ALLOW	modified Apache 2.0 / non-commercial academic conditions; verify at run	https://github.com/morris-lab/CellOracle	train only on sanitized WT data; record base GRN source	author example/pretrained data containing protected conditions	context-specific GRN and virtual TF perturbation vote	model output is evidence, not ground truth
SCTENIFOLDKNK	scTenifoldKnk	software	pinned package version	T3	ALLOW	GPL >=2	https://github.com/cailab-tamu/scTenifoldKnk	run only on sanitized WT expression	precomputed results from target perturbations	independent WT-only virtual KO vote	500-gene panel alone may be too sparse; external WT full transcriptome can support network
REPLOGLE2022	Genome-scale Perturb-seq	perturb_scRNA	Replogle et al. 2022	T3	CONDITIONAL	record Figshare dataset terms	https://plus.figshare.com/articles/dataset/20029387	non-embryonic datasets only; strict target/phenocopy blacklist; prefer compact pseudobulk/sampled files	GATA4/GATA6/CTNNB1/MESP1; canonical WNT; cardiac lineage TF perturbations; phenocopies	generic response sparsity/magnitude/heterogeneity only; never direction	human cell-line domain mismatch; requires organizer clarification
